2 Sisters Food Group,Fox's biscuits
2 Sisters Food Group,Holland's
20th Century Fox Animation(20th Century Fox),Fox Animation Studios
20th Century Fox Television(Fox Entertainment Group),Foxstar Productions Inc.
20th Century Fox Television,Fox 21 Television Studios
20th Century Fox,Blue Sky Studios Inc.
20th Century Fox,Twentieth Century Fox Home Entertainment LLC
20th-century labor disputes and strikes,Aureus Sciences
21st Century Fox,Apollo Global Management,Endemol Shine North America
21st Century Fox,Fox Entertainment Group Inc.
21st Century Fox,Fox Networks Group
21st Century Fox,Fox Studios Australia
21st Century Fox,Fox Television Stations LLC
21st Century Fox,Phoenix Satellite Television Holdings Limited
21st Century Fox,Star India Private Limited
21st Century Fox,TrueX
25px Audi AG,Audi Sport GmbH
29 industry super funds,Members Equity Bank Limited
2929 Entertainment,Magnolia Pictures
2GO Group,2GO Travel
2K Games(Take-Two Interactive),Firaxis Games Inc.
2K Games,2K Australia Pty Ltd
2K Games,2K Marin Inc.
2K Games,Cat Daddy Games
2K Games,Hangar 13
2K Sports(Take-Two Interactive),Visual Concepts Entertainment
2K Sports,Kush Games
365 Enterprises Pty Ltd,Sex Toys 247
3B Media Inc.,MAQAM
3M,Cogent Systems Inc.
5th-century Christianity,GreenCE Inc.
888 Holdings,888casino
888 Holdings,888sport
888 Holdings,Wink Bingo
A member of the Fung Group,Global Brands Group Holding Limited
A&NN Capital Fund Management,Waterstones
A&P Canada,Food Basics
A&W Restaurants,A&W Food Services of Canada Inc.
A-Film Holding B.V.,A-Film Benelux B.V.
A. P. Moller-Maersk Group,Maersk Oil
A. T. Cross Company,Sheaffer Pen Corporation
A.P. Moller  Maersk Group,Maersk Drilling
A.P. Moller  Maersk Group,Odense Steel Shipyard
A.S. Watson Group,Superdrug Stores PLC
A2A,Crnogorski elektroprenosni sistem AD
AAI Corporation,Textron Systems,Aerosonde Ltd
AB Business Enterprises,Parveen Travels (P) Ltd.
AB Svensk Filmindustri,SF Film Finland Oy
ABC Entertainment(DisneyABC Television Group),Greengrass Productions
ABC Family Worldwide Inc.,ProdCo Inc.
ABC News(Disney-ABC Television Group),Lincoln Square Productions LLC
ABC Owned Television Stations,ABC Circle 7 Productions
ABC Productions,ABC Pictures
ABC Studios,ABC Signature Studios Inc.
ABC,ABC Entertainment
ABC Inc.,Radio Disney Group LLC
ABF Holdings Ltd,Cargill plc,Frontier Agriculture Ltd
ABNote North America,ABN Company
ABS-CBN Corporation,LVN Pictures
ABS-CBN Corporation,Star Magic
ABS-CBN,ABS-CBN Digital Media
ABS-CBN,ABS-CBN Publishing Inc.
ABS-CBN,AMCARA Broadcasting Network Inc.
ABS-CBN,Dreamscape Entertainment Television
ABS-CBN,Star Cinema
ACEDES Holdings,AC Cars Group Ltd.
ACI Worldwide Distribution,Hill-Fields Entertainment
ADIR International LLC,Curacao
ADvTECH Group Limited,The Independent Institute of Education
AECOM,Davis Langdon,An AECOM Company (also known as PCC in Europe and the Americas).
AECOM,URS Corporation
AEG,later Bombardier Transportation,LEW Hennigsdorf
AES Corporation,BNDES,AES Eletropaulo S.A.
AES Corporation,Indianapolis Power & Light Company
AEVIS VICTORIA SA,Swiss Medical Network SA
AEsir Media,Section23 Films
AFI KLM E&M,Barfield Inc.
AG Vulcan,Germaniawerft,AG Weser,Ingenieurskantoor voor Scheepsbouw
AGCO (USA),AGCO Feucht GmbH
AGCO,Laverda
